tag,sentence
종목정보,SDN 왜 vi 가 안걸리는거죠?? 15퍼가 넘도록 vi 가 안걸리더라고요 왜 그런건가요???
종목정보,네이버 주주인데 유상증자를 하면 개인주주도 청약신청이 가능한가요? 
종목정보,삼성전자 배당일은 언제더라?
종목정보,삼성전자 최신 뉴스 알려줘
종목정보,삼성전자 호재 좀 있어?
종목정보,상폐된 종목인데 거래를 더 이상 못하나요?
종목정보,샘표 무상증자 언제 쯤 줍니까?
종목정보,야 요즘 LG관련 좋은 소식은 없냐?
종목정보,에이아이비트 상폐될 위험도 있나요? 
종목정보,현대물산 악재 있는지 말해봐
종목추천,  핫한 경협주 어떤것부터 사야할까요
종목추천,30년 뒤에 아들한테 물려줄 주식 찾고 있습니다. 추천 해주세요.
종목추천,500만원 있고 분할 매수 하려합니다. 좋은 종목 있을까요?
종목추천,대북 관련 주 몇 종목 추천을 받아 분산 투자로 하여 몇가지를 조금씩 보유중입니다. 어떤걸 팔아야할지 추천해주세요
종목추천,"바이오주, 5g 관련주 추천좀 해주세요 중장기주로 부탁합니다."
종목추천,블록체인 관련해서 뭐 좋은 종목 좀 없냐
종목추천,오를 것 같은 주식 상위 10개 알려줘봐
종목추천,전자 산업 관련 주도주 추천해줘
종목추천,주식 초보입니다. 오래 들고 있을 만한 종목 있을까요?
종목추천,중장기로 투자할 만한 괜찮은 녀석 뭐냐?
종목추천,추천하는 바이오주 있어? 요즘 바이오주 다 힘든 것 같긴한데
차트질문,RSI 과매도 구간에서 매수하면 대부분 승률 괜찮나?
차트질문,골든크로스 이평선 며칠 기준으로 보니?
차트질문,단타할 때는 5분봉으로 봐? 아니면 1분봉으로 봐?
차트질문,동부화재 지지선 어디일까 좀 보여?
차트질문,볼린져밴드로 봤을 때 매매구간 설정하는 법 알아?
차트질문,분봉차트로 분석할 때 이점이 뭘까?
차트질문,스윙은 거의 주봉 일봉 단타면 일봉 분봉 뭐 이런거요. 어떤걸로 보시나요?
차트질문,월봉에서 보면 많이 떨어진 상태이구 지금 다져지고 있는종목 아닌가 싶은데 어떤가요?
차트질문,"이런 차트는 하락추세 차트로 봐야하나요? 매집 차트로 봐야하나요?  전고점과 전저점을 높여가면서, 거래량에 장대 양봉을 세우고 개미털기를 하면서 매집을 하고있는건지? "
차트질문,지지선은 저점을 이은선이고 저항선은 고점을 이은선으로 알고 있는데 저점 고점을 어디로 잡아야할지... 
차트질문,"하락 추세 전환 이후 기준선, 전환선 이탈했습니다. 원칙대로 손절하는 것이 맞는데 외인 수급도 지속적으로 있고 25000원에서 지지하네요 공매 가지고 장난치는 것 같지도 않구요 재료는 금리 인상으로 골든브릿지 기대감이 있습니다 제가 놓치고 있는 부분이 있을까요"
투자,ETF에 조금씩 장기투자 해보려는데 초보자는 이게 더 낫겠죠?
투자,가치투자하려면 보통 장기적으로 가져간다는거지?
투자,보통 한사람이 주식을 몇종류정도 나누어서 하는가요
투자,손절할 때 마이너스 몇 프로를 기준으로 하는 게 좋지?
투자,여유 자금 생길때마다 삼성전자 주식 살 예정인데 제가 사고나면 자꾸 떨어져요 장기적으로 볼껀데 신경 안 써도 되겠죠?
투자,위험 회피적 경향이면 주식말고 채권을 사는 게 나을까요?
투자,이론만 공부하고 실전은 처음이에요 어디서 거래를 시작해야하고 뭐부터해야하는지 모르겠어요
투자,중요하게 봐야하는 재무제표는 뭐야?
투자,초보가 처음 시작할 때는 장투가 단타보다 나은가요?
투자,한 3개정도 기업을 골라서 1주 2주 주식을 사고 조금씩 분할매수해서 투자하려고 생각하는데 괜찮은 방법일까요?
투자,한번 돈을 날린 적이 있어서ㅜ 다시 주식투자를 하기가 걱정은 됩니다 ..그래도 괜찮은 방법이나 조언 부탁 드립니다!
