tag,type,sentence
차트질문,대표문장,db라이텍 차트 분석 부탁드립니다
차트질문,유사문장,유바이오로직스 지지선 체크 부탁드립니다
차트질문,유사문장,한화캐미칼 하한선 어디까지 보니?
차트질문,유사문장,한류AI센터 차트 분석으로 보면 하락 차트 인가요?
차트질문,유사문장,주식 차트 분석 중에 이평선이라든지 이격도 피보나치 수열 등등 여러 가지 분석이 있는데 어떤 걸 위주로 가장 중요하게 봐?
차트질문,유사문장,기아차요 차트 좀 봐주세요
멘탈,대표문장,옵티팩 암울하네요.
멘탈,유사문장,제이준 정말 답 없군.. 어찌 해야 할까?
멘탈,유사문장,프로스테믹스 한없이 빠지네요.
멘탈,유사문장,흥국석유에 넣었다가 갑자기 하락해서 많이 우울합니다
멘탈,유사문장,누가 좀 살려주세요! 어떻게 해야할지 답이 없어요.
멘탈,유사문장,인터불스 물렸어요. 명절 앞두고 잠이 안 와서 밤새웠어요.
투자,대표문장,스윙은 얼마정도 기간을 두고 이야기 하나요?
투자,유사문장,스윙은 단타보다 수익률이 더 클까요?
투자,유사문장,중장기 투자 조언 좀 해주세요
투자,유사문장,망하는 회사가 아니면 오르겠거니 하고 적금들어놔야 하나요?
투자,유사문장,단타는 주식을 매수하고 수익 조금이라도 나면 바로 매도하는건가요?
투자,유사문장,종목은 어떻게 선정하시는지요
금융용어,대표문장,공매도가 무엇인지 쉬운 설명 해주실분 있나요ㅠ
금융용어,유사문장,눌림에 대해 설명해주실 수 있나요?
금융용어,유사문장,종가상이탈이란말 뜻이 뭔가요?
금융용어,유사문장,유상증자에 관하여 시원하게 설명 좀 부탁드립니다.
금융용어,유사문장,주식가장매매가 무슨 뜻인지 설명 좀 부탁 드립니다.
금융용어,유사문장,주식 용어 중에 흔든다는 말이 무슨 뜻인가요?
거래,대표문장,매수했다가 취소해도 수수료 내나요?
거래,유사문장,장외주식 사는 방법 질문드립니다.
거래,유사문장,미수나 신용을 제한없이 쓸 수 있나요?
거래,유사문장,금요일에 매매하면 언제부터 수익금 인출 가능한가요?
거래,유사문장,금융소득 종합과세는 연 금융소득이 2000만원을 초과할때만 부과되는 건가요?
거래,유사문장,오늘 매수했다 매도한 경우 3일 뒤에 인출이 가능한가요?
