summary,intent
DB하이텍 어떻게 보십니까,종목분석
오가닉티코스메틱 2400원 매수했는데 많이 내려왔네 어때? ,매매평가
에스퓨얼셀 어떤가요?,종목전망
국일제지 어찌 될까요?,종목전망
포스코인터내셔널 오늘 거래량과 음봉에 대해 설명 좀 부탁해.,차트질문
휴림로봇 종목 상담 부탁드립니다.,종목분석
대유에이피 이거 앞으로 어떻게 될지,종목전망
"카카오 외인,기관 매집 중인 거 맞죠?",매매동향
팍스넷 오늘 매수 들어 갔는데 너무 늦은 건가요?,매매평가
필룩스 너무 무지막지하게 내려가기만 하네.. 이제 저점인가? 아직 더 내려가는가?,종목전망
리드 하한가 이유 뭐야?,등락원인
네이버는 이슈에 따른 일시적 상승일까?,등락원인
이마트 언제 쯤 하락을 멈출까요?,종목전망
신성통상 오늘 빨간불 떴는데 이 기세로 쭉 오르겠죠?,종목전망
엠게임 언제쯤 올라갈까 매일 손절할지 말지 고민이네,매매전략
가온미디어 앞으로 전망은 좋을까,종목전망
삼일제약 전망,종목전망
LG화학 앞으로의 전망,종목전망
유진테크 앞으로의 전망 좀 알고싶네.,종목전망
서울반도체 앞으로 전망이 어떤가요?,종목전망
코스맥스등 화장품 관련주 전망이 어떤가요,종목전망
동국S&C 물렸는데 대응 방법 좀 부탁해.,매매전략
남영비비안 어떨까요?,종목분석
이트론 어떻게 보세요?,종목분석
엑사이엔씨 지금이라도 사는 게 낫나요?,매매결정
대화제약 지금 사야할지 더 내려가면 사야할지 어떻게 보니?,매매타이밍
국일제지 계속 오를까요?,종목전망
로보티즈 보유해도 될까요.,매매결정
jw신약 어떻게 보시나요?,종목분석
현대약품 어떻게 보시나요 오를 듯 안 오르고 빠지네요.,종목전망
신라젠은 이제 끝난건가요?,종목전망
셀트리온은 이제 어떻게 될까요?,종목전망
스튜디오드래곤 오늘 엄청 더 떨어졌는데 추매를 해서 평단을 낮춰야할지 궁금합니다.,매매전략
선데이토즈 앞으로 동향 부탁드립니다,종목전망
클래시스 너무 오래 횡보하네.,종목분석
압타바이오 많이 빠졌는데 어떻게 보시나요?,종목분석
에스피지 차트는 좋아보이는데 어찌 생각하세요?,종목분석
서원 향후전망 어떨까요?,종목전망
솔브레인 앞으로의 전망 부탁 합니다.,종목전망
KCC 얼마나 더 기다려야할까요?,매매타이밍
이트론 언제 쯤 정리를 해야할지 알려줘.,매매타이밍
옴니시스템 2400원에 물려있는데 현 시점에서 손절해야 할까요?,매매전략
삼성물산 일주일 안으로 10만원까지 갈 수 있을까요?,종목전망
CJ헬로 반등 가능 할까요?,종목전망
한국전력 내일도 오를까요?,종목전망
골드퍼시픽 앞으로 어떻게 진행 될런지 궁금해,종목전망
와이오엠 무섭게 며칠째 치고 올라가는데 매수 괜찮을까요?,매매결정
후성 오늘 왜 이럴까?,등락원인
우성사료 오늘 떨어졌네요 조정일까요? ,등락원인
한창제지 어떨런지요?,종목분석
세들뱅크 어찌될까요?,종목전망
포인트엔지니어링 차트로만 분석했을때 급등 시세를 줄지 안줄지..,차트질문
펩트론요즘 전저점 찍고 골파기 중인데 이 종목 어느 선까지 반등올까요? ,종목전망
삼성전자 계속 보유를 해야 할지 요즘은 정말 모르겠네.,매매전략
유니크 8천원때 물렸는데 이거 기다려도 되나요?,매매전략
그래핀 차트가 옆으로 현재 횡보중이고 매수 진입하려고 하는데 어떻게 생각해?,매매결정
인콘 3자 배정 정정이 있었는데요 호재인지 아닌지 잘 모르겠습니다.,재료
퓨전데이타 며칠 전 불꽃을 태우던데 요즘 주춤하네.,종목분석
로보 언제 쯤 갈까요?,종목전망
포티스는 어쩌면 좋을까요?  2천원대 샀다가 지금은 물타기 하고 싶어도 더 떨어질 것 같아서요,매매전략
소액 투자를 해보고 싶은데 유망 종목이 어떤 것이 있는지 조언해줘,종목소개
오픈베이스 좋은 소식있나요?,종목정보
"알에스오토메이션 15,000원부터 물려서 이러지도 저러지도 못하는 상황인데 어느 정도 가격까지 움직여줄까요? ",종목전망
클리오 앞으로 상승 가능성이 있을까요?,종목전망
광진실업 개인적으로 양호하게 보는 차트인데 이 주식 어떤가요?,종목분석
isc 어떨까요? 일본 수혜주 시들해질 것 같아서,종목추천
인콘 상한가 한방짜리 물렸는데 손절해야 할까요?,매매전략
"현대로템 물타기를 해야 되는지, 손절해야 되는지 답답합니다.",매매전략
좋은사람들 평단 3천원 더 가지고 있어볼까 하는데 어떨까요?,매매전략
멜파스 홀딩해도 되는 것 인지 손절선 알려주면 좋겠어,매매전략
삼성전기 바닥인가 싶어서 장기로 생각하고 비중 조금 실었는데 어떻게 될까요?,종목전망
조선내화 별로 움직임이 없는데 앞으로 방향이 어떨런지요?,종목전망
한국항공우주는 뭔 호재가 있나요 외인들 40일 연속 매수하고 있네요.,매매이유
유티아이 저가 대비 엄청 올랐던데 어떻게 보는지 궁금해,종목분석
동진쎄미켐 주식을 약 10년 조금 보유 중이야. 계속 가야 할까?,매매전략
KMH하이텍잘 만들어진 차트에서 더 가지를 못하네.,등락원인
모비스 이거 3020원에 물려있는데 어찌해야할까요?,종목전망
서한 종목 상담 부탁드립니다.,종목분석
일진머티리얼즈 종목 상담 부탁드립니다.,종목분석
유니슨 종목 상담 부탁드립니다.,종목분석
램테크놀러지 주가 예상이 어떨까요?,종목전망
한일네트웍스 전망 어떨까요?,종목전망
크리스탈 파이프라인이 괜찮은 것 같은데 어떻게 보니?,종목분석
신일산업 왜 갑자기 이렇게 끝도 없이 내리는지 잘 모르겠네.,등락원인
대한뉴팝 고점에 물렸는데 어떻게 대응해야 할까요?,매매전략
휴네시온 9300원에 미련스럽게 들어가서 왕창 물려버렸네. 전망이 어떻게 될까요?,종목전망
인디에프 향후 전망 어떤가요?,종목전망
불산 관련주인 시노펙스 주가 상황 어떻게 예상하시나요?,종목전망
"마이크로텍현재 뉴스 좋고 금일 상한가 치다가 하한가로 장마감했는데, 언제 쯤 상한가 안착할까요?",종목전망
화천기계 물려있는데 -8.6프로입니다. 손절해야 될까요? 들고가야 될까요?,매매전략
대한누밤 손절치고 새로운 거 사야하나요?,매매전략
파미셀 중장기로 갖고있는데 어떤가요?,매매평가
신일산업 계속 가지고가도 될까요?,매매전략
동양네트웍스 앞으로 전망 어떻게들 보시나요?,종목전망
유비쿼스 홀딩스 어디까지 떨어질까요? ,종목전망
에이디칩스는 도대체 오를 줄 모르고 내려만 가는지,멘탈
후성은 우리나라 기업 중 독보적인 기술력을 가지고 있다고 하는데 지금 매수해도 될까요?,매매결정
크리스탈신소재 현재 -1.5구간인데 내일 상승하면 매도 해야할지 2~3일 홀딩해야 하는지 고민됩니다. ,매매전략
클래시스 앞으로 어떨지 궁금합니다.,종목전망
jyp엔터 앞으로 전망 궁금합니다.,종목전망
후성 어떻게 될까요?,종목전망
대한뉴팜 꼭대기에 물렸네요 어떻게 해야하나요?,매매전략
smLifeDesign 재료도 있는 것 같고 저점 출발인데 매수해도 될까요?,매매결정
대창 한번 훅 올라갈 가능성이 있는 걸까요?  ,종목전망
까스텔바작 기대해도 될까요?,종목전망
인콘 어떻게 해야 할까요?,종목분석
에코마이스터 평단 8000 초반은 와야 본전인데 존버가 길어지네요.,멘탈
후성 지금 들어가도 될까요?,매매결정
GV 어때 보이나요?,종목분석
이원컴포텍 떨어지기만 하네 저점은 도대체 어디일까?,멘탈
에스앤에스텍 일본때문에 추가 상승 할까요?,종목전망
유니온머티리얼이 반도체 수혜주 될까요?,종목정보
에스에프에이 괜찮을까요?,종목분석
유니트론텍 2-3주 동안 너무 내리는데 어떡하죠?,멘탈
인터플렉스 중장기 괜찮을까요?,매매전략
기업은행 배당도 좋고 가격대도 나쁘지 않은데 왜 지지부진인지 모르겠네요. ,등락원인
셰도우 마스크 관련주로 웨이브일렉트로 어떻게 보시나요? 너무 올라서 들어가기가 좀 겁나는데.,종목분석
상상인증권 앞으로 전망이 어떨지 궁금합니다.,종목전망
상상인 2년정도 들고 있다가 본전왔습니다. 앞으로 전망이 어떨까요?,종목전망
나노메딕스 등락이 심해서 감을 못잡겠어요.,종목전망
퓨쳐스트림네트 자회사 실적이 좋다고 해서 장기적으로 들고 가도 될런지요.,매매전략
동진쎄미켐 15%정도 수익을 얻고 오늘 매도 후 빠져 나왔는데 다시 기회를 봐서 매수 해야 할까요?,매매결정
지노믹트리 한번 진단 부탁드립니다.,종목분석
다날 계속 빠지는데 어떻게 대응해야할까요? ,매매전략
현대바이오 어떤 상황인지 궁금하네요.,종목분석
에이치엘비가 추가 악재가 더이상 나오지 않으면 반등 나올 시점이지 않을까요?,종목전망
영우디에스피 왜 올라가는거죠?,등락원인
대유 평단 2만원에 비중도 큰 편이라 손절은 의미가 없을듯 하고 장기 보유할까 하는데 어떻게 생각해?,매매전략
남선알미늄 대선 관련주로 3-4년 묵혀 두라고 하는데 괜찮은 종목인지 궁금해요.,종목전망
KT통신주 앞으로 전망은 어떨까요?,종목전망
케어랩스 2만원 초반에 물려있는데 손절? 홀딩? 어찌해야 할까요?,매매전략
팍스넷 매도하지말고 계속 가지고 있는 게 나을까요? 뉴스는 긍정적인 것 같은데 매도 시기가 궁금해.,매매타이밍
미스터블루 지금 들어가기에 좀 늦은 건가요?,매매타이밍
액션스퀘어 지금 들어가면 어떤가요?,매매결정
후성 향후 전망 어떤가?,종목전망
룽투코리아가 최근 급등하고 있는데 어떻게 보시는지요?,종목분석
크리스탈신소재 이 종목 다음 주 전망 어떤가요?,종목전망
국일제지를 알게 되었는데 어떤 종목인지 궁금하네요.,종목분석
서암기계공업 금요일 하락했는데 어찌보시나요?,종목전망
동양네트웍스바이오 재료도 있고 인수합병 소식도 있는데 더 들고 있어도 되는건지 궁금해.,매매전략
컬러레이 재무는 굿인데 중국주라 그런가 안 오르네.,등락원인
에어부산 오르락 내리락 하길래 두고 있는데 오르면 팔고 대기 하다가 살까요?,매매전략
유니온 요즘 살짝 오르는 느낌인데 어떤가요?,종목전망
매직마이크로 중기주로 괜찮은지 좀 봐주세요.,매매전략
전파기지국 20일선 올라타면 진입해도 될런지?,매매결정
휴네시온 가는 거 보고 오늘 진입했는데 앞으로 잘 갈까요?,종목전망
이낙연 총리 언급으로 신공항주 앞으로 치고 나갈까요?,종목전망
한신기계 금일은 좀 올랐는데 앞으로 전망은?,종목전망
SG&G의 앞으로 전망이 어떻게 될까요?,종목전망
미스터블루 더 갈까요?,종목전망
드림시큐리티 어떤가요?,종목분석
조이맥스 게임주 끝물인가요?,종목전망
신규상장주 공략은 어떻게 하나요?,투자
서린바이오 어찌 보시나요?,종목분석
용평리조트 어떻게 보시나요?,종목분석
아이에이 평단 660에 손해 보기 전에 매도 고려 중에 있는데 이 종목 갈만 할까요?,종목분석
앞으로의 미래를 봐서 시노펙스에 가치투자를 하려고 하는데 어떤가요?,매매결정
한창 어제 9% 상승후 현재 -4%인데 오늘 털어야할까요?,매매전략
인디에프 어제 상한가로 14% 수익 중인데 정리할까 보유할까?,매매전략
엘비세미콘 조정 주고 난 후인데 더 빠질 위험은 없나요?,종목분석
뉴트리 하반기 실적개선으로 반등 되나요?,종목전망
에이비엘바이오 반등이 올까?  바닥 아직 남은건가? 어디까지 떨어질까?,종목전망
윌비스는 올라갈 생각을 안하네,멘탈
유니온 손절을 했어야 했는데 못해서 힘드네,멘탈
초록뱀 힘 좀 쓸까?,종목전망
동진쌔미켐 -3퍼 정도니 아직은 회생 가능하겠지?  비중을 너무 많이 넣어 걱정되네.,매매평가
LG화학 어떤가요?,종목분석
서암기계공업 시외 4퍼 오르길래 들어갔더니 보합으로 마감이네 내일은 오를까?,종목전망
오픈베이스 3500원에 사서 물려있는데 어떻게 대응하는 게 좋을까?,매매전략
미스터블루는 최근 게임 관련 자회사 이슈로 급등하는데 1만원대까지 상승 할까요?,종목전망
내일 코스피 지수 금요일이라 떨어질까?,종목전망
IHQ 유료방송 합산규제 어떻게 될까요?,종목전망
일신석재 DMZ 뉴스도 뜨는데 참 지루하네,등락원인
동진쎄미컴 일본 수출규제 관련 대체품목은 주로 많이 올랐는데 앞으로도 상승여력이 있을까?,종목전망
팍스넷이 상승하고 있는데 계속 보유해야 할지 매도해야 할지 모르겠어.,매매전략
메지온 임상 결과 공개가 한달 안에 나온다는데 기대됩니다.,종목전망
디지털조선 정치 관련주로 볼 수 있을까?,종목소개
체시스 돼지열병 언젠간 오리라,멘탈
한국전력 계속 가지고 있어야 하나?,매매전략
에스티팜 평단 25000원이고 -30%야 작년 가을부터 물려있어 어떻게 해?,매매전략
Sk하이닉스 전망이 어떠한가요?,종목전망
신일산업 2800 가던 주식인데 시간 지나면 2400은 그냥 회복하겠지?,종목전망
SK하이닉스가 어제 오늘 계속 강세인데 계속 이어질까요,종목전망
모비스 기술력은 국내 최고라는데 주가가 안 오르네요.,등락원인
모비스 투자 후 현재 5퍼 손실인데 향후 전망 궁금합니다.,종목전망
비피도 고점에 물려있는데 빨리 정리하는 게 나을까요 기다리는 게 나을까요?,매매전략
차바이오텍 많이 물렸는데 반등 가능할까요?,종목전망
스튜디오드래곤 반등 가능할까요?,종목전망
신라젠 오늘은 어찌 될까요?,종목전망
플레이위드 뒤늦게 알고 어제 샀다가 물렸어요 정리를 해야 하나요?,매매전략
에코캡 새로운 기사가 떴는데 향후 전망이 어떨까?  ,종목전망
인콘 손실 중인데 손절해야 할까요?,매매전략
소프트센 종가 베팅으로 어떨지 궁금해,매매평가
라온시큐어 보안주들 급등하는 날 샀는데 왜 얘는 안 갈까요?,등락원인
코텍은 어때요?,종목분석
LG전자 79000원 매수가인데 목표가 얼마 볼까요?,종목전망
동원개발 아직도 저평가인가요?,종목분석
탑엔지니어링 수익 극대화 시켜보겠다고 남겨뒀는데 어떡할까?,매매전략
코세스도 많이 빠졌는데 갈까?,종목전망
에이프로젠 비중 50프로인데 계속 들고가도 괜찮을까요?   ,매매전략
두올산업 상 갔는데 두올은 내일 어떨까요?,종목전망
두올산업 오늘 왜 상 갔나요?,등락원인
이테크건설 계속 떨어지는데 악재가 있는 건가요?,등락원인
유니트론텍 계속 떨어지는데 손절해야 할까?,매매전략
액트로 어디까지 내려가려나요,종목전망
sk하이닉스 올라갈 땐 좋았는데 어디서 팔아야 될까요?,매매타이밍
파트론 전망 부탁드립니다.,종목전망
가비아 추세가 어디까지 떨어질지 감이 안오네 다행히 비중은 얼마 안 되지만,종목전망
바이오리더스 왜 이리 자꾸 하방으로만 가나요?,등락원인
다날 아직 상승 여력이 남아있나요?,종목전망
이건홀딩스 8개월째 보유 중인데 갈 생각을 안하네요.,등락원인
기가레인 이 종목 좀 봐주세요,종목분석
애국테마주 월요일에도 상승 가능할까요?,종목전망
두산중공업 어떤가요?,종목분석
나무가 어떤가요?,종목분석
엘지상사 어떠려나요,종목분석
오이솔루션 조정 중인가요?,종목분석
KNN 어떤가요?,종목분석
휴네시온 물려있는데 계속 떨어지기만 하네 손절해야 할지 존버해야 할지 대책이 안 선다.,매매전략
조광ILI 지분 변동 이전의 수준으로 반등 가능 할 수 있을까요?,종목전망
셀리버리가 계속 하락 했는데 가지고 가야 하나요 아니면 존버 해야 하나요?,매매전략
미코는 평단 6730이고 매도를 8000 보는데 어떻게 생각하세요?,매매타이밍
이미지스 이번 일본 수혜주에 움직임 보이다 시들해졌는데 힘찬 움직임 보일까요?,종목전망
광림 들고 가도 괜찮을까요?,종목전망
테라셈 숨은 이슈라든지 앞으로 주가 동향 등 고견 부탁드립니다.,종목정보
"한국선재 총선 때 움직임 있을지, 다른 숨은 이슈가 있는지 궁금해",등락원인
라온시큐어를 적지 않게 들고 있는데 이거 전망 좀 알려줘.,종목전망
오이솔루션 홀딩하면 다시 반등나올 수 있을까요?,매매전략
오픈베이스는 그냥 계속 들고 가야죠?,매매전략
풀무원 어때? 앞으로 전망 부탁해.,종목전망
깨끗한나라우 감자 후 흐름이 불안불안한데 회복가능성은 있는 건가요?,종목전망
옵트론텍 더 내려 갈까요?,종목전망
유니트론텍 존버할까요?,매매전략
인포마크 손정의 방한 끝나니 떨어지고 현재 매물대에 걸린 듯 한데 상승 가능성 있을까?,종목전망
팜스웰바이오 계속 떨어지는데 홀딩 해야할지 손절해야 할지 알려주세요,매매전략
jw신약은 얼마 쯤이 바닥이라고 볼 수 있을까요,종목전망
디에스케이 쌍바닥 상승 후 매물대 저항에 하락 하는데 저점 이탈 하면 무조건 매도 해야 하겠죠?,매매결정
자화전자 평단 12600이고 자꾸 야금야금 빠져서 걱정이야.,멘탈
인바디 전전 고점 지지 후 양봉출현 했는데 매수 관점이 어떨지 모르겠습니다. ,매매결정
텔콘RF제약 올 초부터 연기금이 계속 사들이고 요즘 외국인도 매수로 전환한 것 같은데 지금 매수하면 빠를까요?,매매결정
두올산업 언제 쯤 움직일까요?,종목전망
두올산업 바닥인가요?,종목분석
아이큐어 거의 전저점으로 봐도 괜찮을까요?,종목분석
바이오리더스 쭉 내리기만 하는데 전망 어떤가요?,종목전망
압타바이오에 신규 상장주로 연기금이 살짝 들어왔는데 들어가도 될까요?,매매결정
넷게임즈 바닥인지 알고 싶습니다.,종목분석
"하이트진로는 대장주가 아니라 안 가는 건지, 아님 기다리면 갈까?",등락원인
이스트소프트 기관이 매수도 하고 재료도 있는데 왜 내리는 걸까요?,등락원인
디피씨 비중 10프로인데 평단 맞춰서 빠져나와야 하나요?,매매전략
코위버 앞으로 더 오를 수 있을까요?,종목전망
줌인터넷 6790원에 1000주 들고 존버하고 있었는데 손정의ai때문인지 오늘 좀 오르네.,멘탈
오픈베이스 관심 종목으로 쭉 보고 있는데 떨어질 듯 하다가 올랐네 오늘 매수하기에 너무 올랐지?,매매결정
knn 1280원 평단가인데 반등 더 기다려야 할까요?,매매전략
"장마, 수도물 테마주로 재료가 끝났을까요? 아니면 다시 부각될까요?",종목전망
현대위아는 2분기 실적도 좋은 것으로 알고 있는데 주가상승 계속 탄력을 받을까요?,종목전망
가지고 있는 유일한 대북주 한라도 잘 가지고 가면 되겠죠?,매매전략
네패스 조정있으면 들어가도 될까요?,매매결정
팍스넷 나와야겠죠?,매매결정
삼성물산 지금 사면 오를까요?,종목전망
jw신약 연일 하락하는데 가망이 있을까요?,종목전망
유니트론 언제나 오를까요? ,종목전망
매커스 가망있나요?,종목전망
기산텔레콤 어떻게 해야할까요?,종목전망
유니온 어떻게 보시나요?,종목분석
키이스트에 김수현 영향이 이렇게 큰 걸까요?,종목분석
코데즈컴바인 비중은 20%이고 매수가 3천원 초반인데 거래량도 없고 경협주도 아닌 것 같고 답답하네.,멘탈
보령메디앙스 고점에 물려있어요. 손절할까요. 물타고 기다릴까요?,매매전략
쌍방울 1200대에 물려있는데 차분히 기다려도 될런지요?,매매전략
에이프로젠제약 물타기를 해서 빠져나와야 하는지요?,매매전략
드림시큐리티 5천에 물렸는데 비중도 30%나 들어가 있어서 골치아프네.,멘탈
엘지이노텍 내일은 좋을까요?,종목전망
엘비세미콘 상승 가능할까요?,종목전망
관심 깊게 보는 종목으로 위지트 어떨까요?,종목분석
신라젠 물려서 손절 타이밍 놓치고 있어요 존버해야할까요?,매매전략
후성 계속 가지고 갈까요? 익절해야 하나 고민중입니다.,매매전략
드림텍 지지 반등할지 더 빠질지 궁금하네요.,종목전망
cmg제약 어떻게 해야할까요?,종목분석
피에스텍 더운데 왜 아직 시작을 못하는지 모르겠네요. 오르겠지?,등락원인
남성 요새 전체 지수가 나빠서 주르륵 흐르는데 평단 4400원이면 어찌해야 하나요?,매매전략
풍강 장투해도 될까요?,매매전략
카스 언제 쯤 시장의 관심을 받을까요?,종목전망
어보브반도체 반등 가능할까요?,종목전망
로보스타 살금살금 계단식 하락하고 횡보하고 큰 반등도 없는데 어찌할까요?,매매전략
오픈베이스 어떻게 움직일 건지 속썩이네.,멘탈
압타바이오가 상승한 이유가 무엇일까요?,등락원인
에이치엘비 가지고 가도 될까 궁금 합니다.,매매전략
메디포스트 요지부동이고 박스권에서 계속 있는데 다른 종목들은 많이 뜨는데 너무 답답하네.,멘탈
신일산업 여름이라 좋은 호재가 있을거라 생각했는데 어떨까요?,종목전망
아이에이 20000주 평단 737원에 물렸는데 진단 부탁해.,매매평가
유한양행우 1조 기술수출에 상까지 갔다가 막판 1퍼로 마감 이거 어떻게 설명해야 하나요?,종목분석
칩스앤미디어 하락 이유가 뭔가요?,등락원인
동양파일 10개월 보유 중 거의 본전왔네 더 가져가야 할지 고민입니다,매매전략
한국주철관 평단16100원 30프로 들어가 있는데 손절 얼마 생각해야 하나요?,매매전략
링크제니시스 평단 9040입니다 단일가 거래를 버틸 수 있을지 아니면 그냥 월요일 시초가에 던지는 게 안전한건지 판단해주세요.,매매전략
팍스넷 갑자기 떨어지는 추세인데 매도해야 할지 아니면 지금 좀 조정받는건지 궁금하네.,등락원인
오스템임플란트 74900원에 보유중입니다. 매도해야 할까요? 추가 매수할까요?,매매결정
"KT ETS 3,900원에 보유중입니다. 매도해야 할까요? 추가 매수할까요?",매매결정
"LG유플러스 14,500원에 보유중입니다. 매도해야 할까요? 추가 매수할까요?",매매결정
"삼성전자 46,000원에 보유중입니다. 매도해야 할까요? 추가 매수할까요?",매매결정
"네이쳐셀 8,500원에 보유중입니다. 매도해야 할까요? 추가 매수할까요?",매매결정
"디와이파워 13,900원에 보유중입니다. 매도해야 할까요? 추가 매수할까요?",매매결정
"KT 28,100원에 보유중입니다. 매도해야 할까요? 추가 매수할까요?",매매결정
와이제이엠게임즈 매수가 2245에 약 10%로 손실이네 물타기 해서 계속 들고 있어야 하는지 아니면 월요일에 빨리 손절해야 할까?,매매전략
휴네시온 하루 아침에 반토막 나서 -55%예요 뭔가요? 돈 날린 건가요?,멘탈
5월부터 계속적으로 손절하니 원금에서 40프로 마이너스 한강가즈아 해야될까?,멘탈
에이치엘비 임상 실패 발표 후 뭐 정리할 수도 없을 만큼 떨어지네. 이 주식 회복은 가능할까?,멘탈
오늘 장 왜 그런가요? 아직 많이 물렸는데 무섭다.,등락원인
큐로컴 소식 알려주세요.,종목정보
